hauto,num_elements,mesh_time_s,solve_time_s,freq_mode1,freq_mode2,freq_mode3,freq_mode4,freq_mode5,freq_mode6,freq_mode7,freq_mode8,freq_mode9,freq_mode10,mean_error_%,max_error_%
9,54408,5.732224464416504,64.9397234916687,1214.9696369236237,2304.0246849591945,2313.874420535232,3231.594459945802,3798.279460014832,3835.801009697679,4588.948205365896,4596.3541493830435,5570.976641130513,5586.704695255228,0.12315251627027028,0.3708083992391869
8,54545,5.909807920455933,68.98147630691528,1215.0357779576739,2303.3720377365375,2314.692298810447,3231.8429613073595,3797.2050216627345,3836.845441803978,4587.668446265834,4598.075745919611,5566.355652773979,5591.357161257144,0.14603179244067127,0.3990297614573363
7,55173,6.141432523727417,68.73185181617737,1215.1072133721866,2303.534059004838,2315.0387826491587,3232.1400144865925,3797.690639450169,3837.453590808819,4588.110315848836,4598.570099809219,5566.853157977196,5593.064318263023,0.14474119219124196,0.3920237393047558
6,56147,6.345264196395874,68.62523865699768,1215.0262464174505,2303.3141024128113,2314.835163966159,3231.7613341877927,3797.24288319134,3837.08966421479,4587.577029985052,4597.945778162809,5565.9721074229365,5592.074702259608,0.14838353651302488,0.4015349644205063
5,93067,6.32387638092041,111.99899172782898,1211.4772694811932,2295.7834596990724,2306.8480392572333,3219.980008261906,3783.27347078838,3821.9628176279175,4569.83624945846,4578.961100492085,5545.107918111457,5565.909351281785,0.48446298806015725,0.727170297540755
4,94208,5.861923456192017,119.31475138664246,1211.4236215093354,2295.650673825147,2306.798450770698,3219.8467698672243,3783.102468260894,3821.8687119176784,4569.616519096689,4578.818512373551,5544.798901531211,5565.849772940908,0.4882477569728418,0.7329121410902454
3,96142,4.748704671859741,127.86378145217896,1211.3080992747143,2295.377962893663,2306.7098172857745,3219.630812392689,3782.774657385037,3821.7091485495207,4569.274291624678,4578.632079398767,5544.289459075148,5565.763913060587,0.49492130083512753,0.7447045362940741
2,105587,4.678430795669556,147.1934940814972,1211.2591475206805,2295.30693893708,2306.6117825836536,3219.507928423545,3782.660752361669,3821.589237257429,4569.110265221533,4578.480574823954,5544.120337881406,5565.648780840702,0.49824164630527557,0.747775709717204
1,178984,7.0370635986328125,190.1236937046051,1210.8559564403083,2294.7019375338396,2306.2881137146765,3219.127953071621,3782.207905269183,3821.444530161045,4568.829274751509,4578.536636175563,5543.793627962672,5566.3086211817445,0.5082030326788021,0.7739368012695821
