run,f1_fsdt,f1_comsol,f1_abs_err,f1_rel_err_pct,f2_fsdt,f2_comsol,f2_abs_err,f2_rel_err_pct,f3_fsdt,f3_comsol,f3_abs_err,f3_rel_err_pct,f4_fsdt,f4_comsol,f4_abs_err,f4_rel_err_pct,f5_fsdt,f5_comsol,f5_abs_err,f5_rel_err_pct,f6_fsdt,f6_comsol,f6_abs_err,f6_rel_err_pct,f7_fsdt,f7_comsol,f7_abs_err,f7_rel_err_pct,f8_fsdt,f8_comsol,f8_abs_err,f8_rel_err_pct,f9_fsdt,f9_comsol,f9_abs_err,f9_rel_err_pct,f10_fsdt,f10_comsol,f10_abs_err,f10_rel_err_pct
1,862.380446,1200.2217803445976,337.8413343445976,28.148242256326945,1622.919619,2211.7322009708046,588.8125819708046,26.622236711675797,1658.549776,2221.243093554135,562.6933175541351,25.332360928302933,2294.099311,3053.981088642328,759.881777642328,24.881679211056923,2636.324059,3548.7498074394575,912.4257484394575,25.71118838884287,2804.133683,3585.1736706676884,781.0399876676884,21.78527623522993,3207.850704,4251.312406958543,1043.461702958543,24.544460699961878,3327.455422,4257.2829135685415,929.8274915685415,21.84086682623451,3793.129871,5093.063491031928,1299.9336200319276,25.52360916609234,4120.427016,5105.056976889191,984.6299608891914,19.287345182368245
2,1033.911169,1207.4984723752505,173.58730337525049,14.37577830088594,1743.205476,2251.6018556108256,508.39637961082553,22.57931962278052,2095.14153,2262.116179641929,166.97464964192932,7.381347215701352,2642.660142,3129.2541531409797,486.59401114097955,15.549839908419145,2651.038148,3652.6128781862103,1001.5747301862102,27.42077421255672,3427.164749,3690.397539435606,263.23279043560615,7.132911498631225,3621.088061,4390.266275828183,769.1782148281832,17.520081163712213,3626.43166,4397.731406850601,771.299746850601,17.538582407490885,4047.126753,5286.30620331755,1239.1794503175502,23.441310485190453,4323.517845,5302.279799804206,978.7619548042057,18.459266424234116
3,893.059432,1175.350241580459,282.2908095804589,24.01759063756781,1531.263809,2243.3896609563044,712.1258519563044,31.743297401698012,1824.571805,2257.0266854522997,432.4548804522997,19.160379593191976,2328.333197,3163.6279013043277,835.2947043043278,26.403064151758976,2340.306609,3728.9200782037587,1388.6134692037585,37.239024706387944,3033.363814,3768.3388994760917,734.9750854760919,19.503953998889926,3223.075896,4516.965064403811,1293.8891684038113,28.645100193498845,3225.905624,4528.436898982216,1302.531274982216,28.763374736986293,3612.207889,5504.12775203459,1891.9198630345904,34.37274620552268,3848.694309,5530.51941437885,1681.8251053788504,30.409894249828636
4,1008.103192,1125.2037713362215,117.10057933622147,10.4070553547079,1810.226479,2168.360618689321,358.1341396893213,16.516355102676492,2034.036523,2183.7350822489525,149.6985592489525,6.855161162442067,2693.284612,3079.3630624563834,386.0784504563835,12.537607376130952,2864.091532,3645.124145150855,781.032613150855,21.42677675847805,3547.720933,3684.335075474,136.6141424739999,3.7079728003953085,3632.210744,4433.539395948816,801.3286519488156,18.074242278777007,4044.199035,4446.615567424432,402.4165324244318,9.049951054291826,4087.254368,5434.308022560549,1347.0536545605491,24.787951823272643,4735.368706,5464.527252852945,729.1585468529447,13.34348815759428
5,1008.766805,1013.0106445752782,4.24383957527823,0.4189333644225951,1810.448063,1868.085701158857,57.637638158857044,3.085385114992414,1890.148932,1875.3558933898405,-14.793038610159556,-0.7888123348907431,2540.567684,2583.651472683659,43.083788683658895,1.667554201453783,2853.866701,3010.3826444769315,156.51594347693162,5.199204286009529,3064.835566,3035.996171533401,-28.83939446659906,-0.9499153766071137,3459.345286,3612.282491748004,152.93720574800363,4.233810785767102,3587.949076,3613.341511996885,25.39243599688507,0.7027411030088916,4022.619952,4347.084545925059,324.4645939250586,7.46395867154713,4370.095783,4349.163086167189,-20.932696832810507,-0.48130402144238693
6,791.306783,1132.70346024028,341.39667724028004,30.139987139075185,1531.813658,2149.5314286774674,617.7177706774673,28.73732211757089,1571.495348,2163.348459363374,591.853111363374,27.3581959855669,2208.149571,3022.448129011718,814.2985580117179,26.94168843446712,2648.587621,3554.8554312467036,906.2678102467034,25.493802146797044,2669.413114,3591.8923020951,922.4791880951002,25.682261897357865,3217.392714,4298.982428313435,1081.5897143134348,25.159202959053754,3237.041227,4308.921366700223,1071.880139700223,24.875834309342945,3958.151952,5226.367631316447,1268.2156793164468,24.265718923354832,4085.157811,5247.577241894434,1162.4194308944343,22.151544937998622
7,909.155823,1147.7250282925515,238.5692052925515,20.786268436392497,1709.450673,2245.355526509828,535.904853509828,23.86726053770364,1835.075086,2252.993759446532,417.9186734465318,18.549482069990162,2507.806288,3209.808170921019,702.0018829210189,21.87052451547555,2925.935199,3826.293120699574,900.357921699574,23.53081411428716,3115.009306,3858.958479546551,743.9491735465513,19.27849645155989,3606.239966,4676.541304516675,1070.301338516675,22.886600776581652,3689.94559,4684.489167290723,994.5435772907235,21.23056627465569,4464.950624,5781.008233099264,1316.0576090992636,22.765191745691567,4619.932683,5800.974276404744,1181.0415934047442,20.35936615351991
8,1078.358451,1119.213703623341,40.8552526233409,3.6503531444509805,1958.439552,2064.13484902925,105.69529702924979,5.120561627984608,1977.596466,2074.7631491482816,97.16668314828166,4.683266289367531,2695.234291,2854.4227566907102,159.18846569071002,5.576905709484533,3103.374402,3320.828402940372,217.45400094037223,6.548185409033216,3163.179331,3353.539343049762,190.3600120497622,5.67639119678989,3710.042976,3980.541879080941,270.49890308094064,6.795529636366886,3741.410611,3985.8156329331287,244.40502193312886,6.131869721060661,4395.580311,4777.664349462474,382.0840384624744,7.9972976440980394,4487.191782,4786.686944550051,299.49516255005074,6.256836221366954
9,866.290172,1159.4592651574944,293.16909315749444,25.28498429978668,1631.464226,2262.736808656768,631.272582656768,27.89863055401089,1707.40505,2270.994287646842,563.5892376468421,24.816849637733863,2336.205401,3229.844891070827,893.6394900708269,27.668185941107176,2806.724972,3845.6216470595177,1038.8966750595177,27.01505167191605,2833.52638,3879.3678710233535,1045.8414910233537,26.95906977101058,3359.044679,4695.329332097778,1336.2846530977781,28.459870619996597,3391.910452,4703.775875184315,1311.8654231843147,27.889624378264198,4107.085187,5794.854050453767,1687.7688634537672,29.125304084606,4282.959851,5816.01773211361,1533.0578811136102,26.359236710175548
10,977.315434,1096.2430115368904,118.92757753689045,10.848650918208232,1870.322292,2161.158114735191,290.83582273519073,13.457406043186579,1950.894583,2167.2036278649857,216.3090448649857,9.981020799512132,2709.357927,3104.8406167307644,395.4826897307644,12.737616468931249,3208.749597,3714.8991684912326,506.14957149123256,13.624853556840948,3315.874981,3744.058312948938,428.18333194893785,11.43634249680495,3927.054152,4556.3820382394515,629.3278862394513,13.81200875953366,3967.524615,4562.91893150269,595.3943165026899,13.048540319049911,4889.619673,5662.05903108001,772.4393580800097,13.642375571147495,4934.720379,5678.783395410252,744.0630164102513,13.102507431637969
