run,alpha,beta,theta_c,eta1,eta2,lc,tc,h_face,hc,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,solve_time_s,total_time_s
78,0.488579,0.506262,61.412501,2.585649,0.142638,0.003,0.000427914,0.002557105,0.00488579,1104.5955959524201,2127.4001986479216,2142.669907087506,3020.648170695782,3575.134854967805,3613.122038158052,4348.129745873454,4360.486742694608,5329.461360138621,5357.399381599454,86.4162859916687,152.470561504364
79,0.398726,0.584355,55.323236,1.067723,0.062213,0.003,0.000186639,0.0030063700000000004,0.00398726,1027.8573780187248,1920.1918308494608,1929.3401016624862,2675.218429117046,3131.0479503603333,3158.6199734130273,3770.628187147814,3773.67147565756,4561.89309986325,4564.853561902463,84.79266858100891,150.22002601623535
80,0.848715,0.360084,53.405393,1.357712,0.028112,0.003,8.4336e-05,0.0007564250000000001,0.00848715,1205.9969505942745,2205.0510350011346,2213.132877464309,3031.235607795348,3511.7995983657197,3547.5352309736645,4198.249090948812,4202.96207547919,5012.649381077491,5021.814676203083,105.45745372772217,172.96290254592896
81,0.818984,0.102843,63.736192,1.761953,0.138664,0.003,0.000415992,0.0009050800000000004,0.00818984,1144.7549959369883,2238.275389120459,2247.7918517380544,3200.864387583076,3814.4530767464485,3848.7699663921453,4662.118086048175,4671.973726634704,5761.452613455235,5786.255082295882,105.85813546180725,172.37547302246094
82,0.504727,0.455801,48.118859,1.268391,0.091708,0.003,0.000275124,0.002476365,0.00504727,1098.3883907020236,2077.7327914860684,2090.7008372696687,2916.2896106608814,3426.5902129883575,3460.9447922945715,4140.273801332077,4148.496549729789,5028.597294649919,5044.905628963715,85.30414128303528,151.54389786720276
83,0.758714,0.720705,71.509878,1.114994,0.087038,0.003,0.000261114,0.00120643,0.00758714,1194.7950190274614,2278.5693054893513,2290.9807715546967,3209.65692928142,3781.576109273568,3820.753407224321,4578.304680064359,4588.966107351671,5574.881275374623,5599.641478729286,106.52152824401855,173.19315767288208
84,0.771875,0.842396,43.229698,1.908452,0.072736,0.003,0.00021820799999999998,0.0011406250000000001,0.00771875,1201.8805854371205,2277.0736649171217,2288.9815231571683,3194.4746060942302,3753.109098857625,3792.0407798344186,4533.536736099505,4543.252419390048,5501.151490004619,5523.218336839543,107.17547297477722,175.52076077461243
85,0.38919,0.967283,31.815005,2.036762,0.085681,0.003,0.000257043,0.00305405,0.0038919,1049.931729076118,1990.7183230626506,2002.398288677295,2798.272331200685,3292.616279633293,3323.584211363636,3983.098513586477,3989.5023306394623,4848.130541940663,4859.678472516057,85.17198920249939,152.5989761352539
86,0.527567,0.1839,46.927825,1.658431,0.140867,0.003,0.000422601,0.002362165,0.0052756700000000005,1117.5305726186555,2150.353143372741,2165.6254355893666,3051.070202765825,3609.4888858426966,3648.0807052645564,4387.901571760338,4400.473975517443,5374.522683741459,5403.143341055334,87.00431752204895,152.62972497940063
87,0.152633,0.142031,36.204015,2.333522,0.090779,0.003,0.000272337,0.0042368349999999996,0.00152633,987.8845442247675,1927.8501010155076,1940.014357964321,2760.90073988064,3288.803793541172,3318.5698376404516,4024.121420360545,4032.6199099695295,4977.426281191081,4995.200917035487,80.67390656471252,145.68020582199097
88,0.739199,0.304284,23.111039,1.0079,0.060426,0.003,0.000181278,0.0013040049999999998,0.007391990000000001,1184.6209723931458,2214.192028961534,2225.967336258244,3083.099698607697,3602.772195720315,3640.3223963565906,4334.046411444295,4342.258746348842,5226.2075313180285,5243.581335303929,106.20223951339722,172.51366901397705
