hmax_m,num_elements,freq_mode1,freq_mode2,freq_mode3,freq_mode4,mesh_time_s,solve_time_s
0.006,93167,901.6652099359056,1796.172496050479,1801.7888460961492,2601.876577692944,4.991724014282227,96.17142987251282
0.005,93217,901.5389441755192,1796.0669347927942,1801.4171929640875,2601.513762642572,4.18191123008728,96.76594853401184
0.004,94080,901.3495215785031,1795.8212118986112,1800.9483062134516,2601.083509422848,3.8438189029693604,91.14857935905457
0.003,185979,898.6124387133582,1790.6296352610116,1795.4351961285606,2593.5255830207325,4.90384316444397,144.04257822036743
0.0025,300790,897.949440575013,1789.370832082982,1793.8998819966755,2591.539290844568,7.76596212387085,256.53257727622986
0.002,439687,897.1692367682356,1787.8628219421578,1792.2389526351212,2589.155835419825,12.036499738693237,979.4556217193604
